ROW_ID,ICD9_CODE,SHORT_TITLE,LONG_TITLE
2081,1990,Malig neo disseminated,Disseminated malignant neoplasm without specification of site
2082,1991,Malignant neoplasm NOS,Other malignant neoplasm without specification of site
2084,20000,Retclsrc unsp xtrndl org,"Reticulosarcoma, unspecified site, extranodal and solid organ sites"
2086,20002,Reticulosarcoma thorax,"Reticulosarcoma, intrathoracic lymph nodes"
2089,20005,Reticulosarcoma inguin,"Reticulosarcoma, lymph nodes of inguinal region and lower limb"
2092,20008,Reticulosarcoma mult,"Reticulosarcoma, lymph nodes of multiple sites"
2093,20010,Lymphsrc unsp xtrndl org,"Lymphosarcoma, unspecified site, extranodal and solid organ sites"
2102,20020,Brkt tmr unsp xtrndl org,"Burkitt's tumor or lymphoma, unspecified site, extranodal and solid organ sites"
2153,2764,Mixed acid-base bal dis,Mixed acid-base balance disorder
2154,27650,Volume depletion NOS,"Volume depletion, unspecified"
2155,27651,Dehydration,Dehydration
1944,1744,Mal neo breast up-outer,Malignant neoplasm of upper-outer quadrant of female breast
1947,1748,Malign neopl breast NEC,Malignant neoplasm of other specified sites of female breast
1968,1830,Malign neopl ovary,Malignant neoplasm of ovary
1982,185,Malign neopl prostate,Malignant neoplasm of prostate
1994,1880,Mal neo bladder-trigone,Malignant neoplasm of trigone of urinary bladder
2002,1888,Malig neo bladder NEC,Malignant neoplasm of other specified sites of bladder
2004,1890,Malig neopl kidney,"Malignant neoplasm of kidney, except pelvis"
2022,1911,Malig neo frontal lobe,Malignant neoplasm of frontal lobe
2023,1912,Mal neo temporal lobe,Malignant neoplasm of temporal lobe
2024,1913,Mal neo parietal lobe,Malignant neoplasm of parietal lobe
2029,1918,Malig neo brain NEC,Malignant neoplasm of other parts of brain
2030,1919,Malig neo brain NOS,"Malignant neoplasm of brain, unspecified"
2037,193,Malign neopl thyroid,Malignant neoplasm of thyroid gland
2038,1940,Malign neopl adrenal,Malignant neoplasm of adrenal gland
2049,1953,Malign neopl pelvis,Malignant neoplasm of pelvis
2053,1960,Mal neo lymph-head/neck,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face, and neck"
2054,1961,Mal neo lymph-intrathor,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes
2055,1962,Mal neo lymph intra-abd,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes
2056,1963,Mal neo lymph-axilla/arm,Secondary and unspecified malignant neoplasm of lymph nodes of axilla and upper limb
2059,1968,Mal neo lymph node-mult,Secondary and unspecified malignant neoplasm of lymph nodes of multiple sites
2061,1970,Secondary malig neo lung,Secondary malignant neoplasm of lung
2062,1971,Sec mal neo mediastinum,Secondary malignant neoplasm of mediastinum
2063,1972,Second malig neo pleura,Secondary malignant neoplasm of pleura
2064,1973,Sec malig neo resp NEC,Secondary malignant neoplasm of other respiratory organs
2065,1974,Sec malig neo sm bowel,Secondary malignant neoplasm of small intestine including duodenum
2067,1976,Sec mal neo peritoneum,Secondary malignant neoplasm of retroperitoneum and peritoneum
2068,1977,Second malig neo liver,"Malignant neoplasm of liver, secondary"
2069,1978,Sec mal neo GI NEC,Secondary malignant neoplasm of other digestive organs and spleen
2070,1980,Second malig neo kidney,Secondary malignant neoplasm of kidney
2072,1982,Secondary malig neo skin,Secondary malignant neoplasm of skin
2073,1983,Sec mal neo brain/spine,Secondary malignant neoplasm of brain and spinal cord
2074,1984,Sec malig neo nerve NEC,Secondary malignant neoplasm of other parts of nervous system
2075,1985,Secondary malig neo bone,Secondary malignant neoplasm of bone and bone marrow
2076,1986,Second malig neo ovary,Secondary malignant neoplasm of ovary
2077,1987,Second malig neo adrenal,Secondary malignant neoplasm of adrenal gland
2518,22801,Hemangioma skin,Hemangioma of skin and subcutaneous tissue
2519,22802,Hemangioma intracranial,Hemangioma of intracranial structures
2521,22804,Hemangioma intra-abdom,Hemangioma of intra-abdominal structures
2522,22809,Hemangioma NEC,Hemangioma of other sites
2523,2281,"Lymphangioma, any site","Lymphangioma, any site"
2525,2298,Benign neoplasm NEC,Benign neoplasm of other specified sites
2572,29634,Rec depr psych-psychotic,"Major depressive affective disorder, recurrent episode, severe, specified as with psychotic behavior"
2582,29650,Bipol I cur depres NOS,"Bipolar I disorder, most recent episode (or current) depressed, unspecified"
2596,2967,Bipolor I current NOS,"Bipolar I disorder, most recent episode (or current) unspecified"
2597,29680,Bipolar disorder NOS,"Bipolar disorder, unspecified"
2602,29699,Episodic mood disord NEC,Other specified episodic mood disorder
2604,2971,Delusional disorder,Delusional disorder
2615,2989,Psychosis NOS,Unspecified psychosis
2620,29980,Pervasv dev dis-cur NEC,"Other specified pervasive developmental disorders, current or active state"
2624,30000,Anxiety state NOS,"Anxiety state, unspecified"
2625,30001,Panic dis w/o agorphobia,Panic disorder without agoraphobia
2629,30011,Conversion disorder,Conversion disorder
2632,30014,Dissociatve identity dis,Dissociative identity disorder
2641,3003,Obsessive-compulsive dis,Obsessive-compulsive disorders
2642,3004,Dysthymic disorder,Dysthymic disorder
2649,3009,Nonpsychotic disord NOS,Unspecified nonpsychotic mental disorder
2661,30151,Chr factitious illness,Chronic factitious illness with physical symptoms
2667,30183,Borderline personality,Borderline personality disorder
3130,2839,Acq hemolytic anemia NOS,"Acquired hemolytic anemia, unspecified"
2696,30300,Ac alcohol intox-unspec,"Acute alcoholic intoxication in alcoholism, unspecified"
2697,30301,Ac alcohol intox-contin,"Acute alcoholic intoxication in alcoholism, continuous"
2700,30390,Alcoh dep NEC/NOS-unspec,"Other and unspecified alcohol dependence, unspecified"
2701,30391,Alcoh dep NEC/NOS-contin,"Other and unspecified alcohol dependence, continuous"
2703,30393,Alcoh dep NEC/NOS-remiss,"Other and unspecified alcohol dependence, in remission"
2704,30400,Opioid dependence-unspec,"Opioid type dependence, unspecified"
2705,30401,Opioid dependence-contin,"Opioid type dependence, continuous"
2709,30411,"Sed,hyp,anxiolyt dep-con","Sedative, hypnotic or anxiolytic dependence, continuous"
2712,30420,Cocaine depend-unspec,"Cocaine dependence, unspecified"
2713,30421,Cocaine depend-contin,"Cocaine dependence, continuous"
2717,30431,Cannabis depend-contin,"Cannabis dependence, continuous"
2728,30460,Drug depend NEC-unspec,"Other specified drug dependence, unspecified"
2730,2704,Sulph amino-acid met dis,Disturbances of sulphur-bearing amino-acid metabolism
2739,2713,Disaccharidase def/malab,Intestinal disaccharidase deficiencies and disaccharide malabsorption
2743,2720,Pure hypercholesterolem,Pure hypercholesterolemia
2744,2721,Pure hyperglyceridemia,Pure hyperglyceridemia
2745,2722,Mixed hyperlipidemia,Mixed hyperlipidemia
2747,2724,Hyperlipidemia NEC/NOS,Other and unspecified hyperlipidemia
2749,2726,Lipodystrophy,Lipodystrophy
2751,2728,Lipoid metabol dis NEC,Other disorders of lipoid metabolism
2752,2729,Lipoid metabol dis NOS,Unspecified disorder of lipoid metabolism
2755,2732,Paraproteinemia NEC,Other paraproteinemias
2756,2733,Macroglobulinemia,Macroglobulinemia
2757,2734,Alpha-1-antitrypsin def,Alpha-1-antitrypsin deficiency
2758,2738,Dis plas protein met NEC,Other disorders of plasma protein metabolism
2759,2739,Dis plas protein met NOS,Unspecified disorder of plasma protein metabolism
2761,27401,Acute gouty arthropathy,Acute gouty arthropathy
2770,2749,Gout NOS,"Gout, unspecified"
2773,27503,Hemochromatosis NEC,Other hemochromatosis
2776,2752,Dis magnesium metabolism,Disorders of magnesium metabolism
2777,2753,Dis phosphorus metabol,Disorders of phosphorus metabolism
2779,27541,Hypocalcemia,Hypocalcemia
2780,27542,Hypercalcemia,Hypercalcemia
2781,27549,Dis calcium metablsm NEC,Other disorders of calcium metabolism
2783,2758,Dis mineral metabol NEC,Other specified disorders of mineral metabolism
2785,2760,Hyperosmolality,Hyperosmolality and/or hypernatremia
2786,2761,Hyposmolality,Hyposmolality and/or hyponatremia
2787,2762,Acidosis,Acidosis
2788,2763,Alkalosis,Alkalosis
2156,27652,Hypovolemia,Hypovolemia
2159,2767,Hyperpotassemia,Hyperpotassemia
2160,2768,Hypopotassemia,Hypopotassemia
2161,2769,Electrolyt/fluid dis NEC,Electrolyte and fluid disorders not elsewhere classified
2162,27700,Cystic fibros w/o ileus,Cystic fibrosis without mention of meconium ileus
2167,2771,Dis porphyrin metabolism,Disorders of porphyrin metabolism
2169,27730,Amyloidosis NOS,"Amyloidosis, unspecified"
2171,27739,Amyloidosis NEC,Other amyloidosis
2175,2777,Dysmetabolic syndrome x,Dysmetabolic syndrome X
2186,27800,Obesity NOS,"Obesity, unspecified"
2187,27801,Morbid obesity,Morbid obesity
2189,27803,Obesity hypovent synd,Obesity hypoventilation syndrome
2194,2788,Other hyperalimentation,Other hyperalimentation
2195,27900,Hypogammaglobulinem NOS,"Hypogammaglobulinemia, unspecified"
2209,2793,Immunity deficiency NOS,Unspecified immunity deficiency
2218,2800,Chr blood loss anemia,Iron deficiency anemia secondary to blood loss (chronic)
2220,2808,Iron defic anemia NEC,Other specified iron deficiency anemias
2221,2809,Iron defic anemia NOS,"Iron deficiency anemia, unspecified"
2222,2810,Pernicious anemia,Pernicious anemia
2223,2811,B12 defic anemia NEC,Other vitamin B12 deficiency anemia
2228,2819,Deficiency anemia NOS,Unspecified deficiency anemia
2241,28249,Thalassemia NEC,Other thalassemia
2242,2825,Sickle-cell trait,Sickle-cell trait
2253,2830,Autoimmun hemolytic anem,Autoimmune hemolytic anemias
2256,25041,DMI renl nt st uncntrld,"Diabetes with renal manifestations, type I [juvenile type], not stated as uncontrolled"
2257,25042,DMII renal uncntrld,"Diabetes with renal manifestations, type II or unspecified type, uncontrolled"
2258,25043,DMI renal uncntrld,"Diabetes with renal manifestations, type I [juvenile type], uncontrolled"
2259,25050,DMII ophth nt st uncntrl,"Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled"
2260,25051,DMI ophth nt st uncntrld,"Diabetes with ophthalmic manifestations, type I [juvenile type], not stated as uncontrolled"
2261,25052,DMII ophth uncntrld,"Diabetes with ophthalmic manifestations, type II or unspecified type, uncontrolled"
2262,25053,DMI ophth uncntrld,"Diabetes with ophthalmic manifestations, type I [juvenile type], uncontrolled"
2263,25060,DMII neuro nt st uncntrl,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled"
2264,25061,DMI neuro nt st uncntrld,"Diabetes with neurological manifestations, type I [juvenile type], not stated as uncontrolled"
2265,25062,DMII neuro uncntrld,"Diabetes with neurological manifestations, type II or unspecified type, uncontrolled"
2266,25063,DMI neuro uncntrld,"Diabetes with neurological manifestations, type I [juvenile type], uncontrolled"
2267,25070,DMII circ nt st uncntrld,"Diabetes with peripheral circulatory disorders, type II or unspecified type, not stated as uncontrolled"
2268,25071,DMI circ nt st uncntrld,"Diabetes with peripheral circulatory disorders, type I [juvenile type], not stated as uncontrolled"
2269,25072,DMII circ uncntrld,"Diabetes with peripheral circulatory disorders, type II or unspecified type, uncontrolled"
2270,25073,DMI circ uncntrld,"Diabetes with peripheral circulatory disorders, type I [juvenile type], uncontrolled"
2271,25080,DMII oth nt st uncntrld,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled"
2272,25081,DMI oth nt st uncntrld,"Diabetes with other specified manifestations, type I [juvenile type], not stated as uncontrolled"
2273,25082,DMII oth uncntrld,"Diabetes with other specified manifestations, type II or unspecified type, uncontrolled"
2274,25083,DMI oth uncntrld,"Diabetes with other specified manifestations, type I [juvenile type], uncontrolled"
2277,25092,DMII unspf uncntrld,"Diabetes with unspecified complication, type II or unspecified type, uncontrolled"
2278,25093,DMI unspf uncntrld,"Diabetes with unspecified complication, type I [juvenile type], uncontrolled"
2280,2511,Oth spcf hypoglycemia,Other specified hypoglycemia
2281,2512,Hypoglycemia NOS,"Hypoglycemia, unspecified"
2285,2518,Pancreatic disorder NEC,Other specified disorders of pancreatic internal secretion
2286,2519,Pancreatic disorder NOS,Unspecified disorder of pancreatic internal secretion
2287,25200,Hyperparathyroidism NOS,"Hyperparathyroidism, unspecified"
2288,25201,Primary hyperparathyroid,Primary hyperparathyroidism
2289,25202,Sec hyprprthyrd nonrenal,"Secondary hyperparathyroidism, non-renal"
2290,25208,Hyperparathyroidism NEC,Other hyperparathyroidism
2291,2521,Hypoparathyroidism,Hypoparathyroidism
2296,2532,Panhypopituitarism,Panhypopituitarism
2299,2535,Diabetes insipidus,Diabetes insipidus
2300,2536,Neurohypophysis dis NEC,Other disorders of neurohypophysis
2304,2540,Persist hyperplas thymus,Persistent hyperplasia of thymus
2306,2548,Diseases of thymus NEC,Other specified diseases of thymus gland
2315,2553,Corticoadren overact NEC,Other corticoadrenal overactivity
2316,25541,Glucocorticoid deficient,Glucocorticoid deficiency
2325,20800,Ac leu un cl wo ach rmsn,"Acute leukemia of unspecified cell type, without mention of having achieved remission"
